"",name,region,variety,rating,notes
11516,Chateau Haut-Bailly (1.5 Liter Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"2018 was a year of extremes. The excessive rainfall of winter and spring was followed by drought with a long sunny summer for more than four consecutive months ... rare and ideal! The resulting wines are full of color, dense, structured and expressive. Opulence and exceptional quality for a solar vintage. "
11517,Chateau Haut-Bailly (1.5 Liter Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Charming Merlots and structured Cabernets. The wines are ripe, rich and aromatic. They offer balance generosity as well as precision. 2019 is a wine of style and depth, a wine of balance, power and purity."
11527,Chateau Haut-Bailly (Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"2018 was a year of extremes. The excessive rainfall of winter and spring was followed by drought with a long sunny summer for more than four consecutive months ... rare and ideal! The resulting wines are full of color, dense, structured and expressive. Opulence and exceptional quality for a solar vintage. "
11528,Chateau Haut-Bailly (Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Charming Merlots and structured Cabernets. The wines are ripe, rich and aromatic. They offer balance generosity as well as precision. 2019 is a wine of style and depth, a wine of balance, power and purity."
11557,Chateau Haut-Brion (1.5 Liter Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,99,"The wine is a superb, deep purple-red color. The first nose is at once intense and subtle. It has a ripe fruitiness, and swirling brings out its aromatic complexity.The first expression is incredibly smooth and delicate,expanding and filling the palate without ever “flexing its muscles”. The tannins are precise but not aggressive, and subtly enchanting. The finish is long and fragrant. Once again, Haut-Brion surprises for its ability to enhance the complementarity of Merlot, Cabernet Franc and Cabernet Sauvignon."
11558,Chateau Haut-Brion (1.5 Liter Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"Blend: 49.4% Merlot, 38.7% Cabernet Sauvignon and 11.9% Cabernet Franc"
11560,Chateau Haut-Brion (1.5 Liter Magnum) 2005,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"The color is so dense that the wine seems almost black. The nose has an intensity of aromas that are mind-blowing. It can never disavow its origins as we find all the complexity that is so well known for characterizing Haut-Brion: its notes of smoke, of cigar and roasted coffee grains. The whiff of fresh fruit is also present: currants and cherries. From the first approach this wine startles one with its density. It is long in the mouth plus creamy, big, powerful and fresh. It takes a hold of you and penetrates your senses. Power and harmony are the distinctive traits of this vintage. The aromatic persistence is incredibly long. This perfectly balanced wine will without a doubt become one of the biggest successes of our Domaine."
11562,Chateau Haut-Brion (1.5 Liter Magnum) 2016,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"Blend: 56% Merlot, 37.5% Cabernet Sauvignon and 6.5% Cabernet Franc"
11576,Chateau Haut-Brion 2005,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"The color is so dense that the wine seems almost black. The nose has an intensity of aromas that are mind-blowing. It can never disavow its origins as we find all the complexity that is so well known for characterizing Haut-Brion: its notes of smoke, of cigar and roasted coffee grains. The whiff of fresh fruit is also present: currants and cherries. From the first approach this wine startles one with its density. It is long in the mouth plus creamy, big, powerful and fresh. It takes a hold of you and penetrates your senses. Power and harmony are the distinctive traits of this vintage. The aromatic persistence is incredibly long. This perfectly balanced wine will without a doubt become one of the biggest successes of our Domaine."
11579,Chateau Haut-Brion 2010,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"This wine is a superb ruby-red color with purplish highlights. The initially closed-in bouquet opens up nicely on aeration. The wonderfully subtle aromas follow through in quick succession, starting with oaky overtones, followed by red-berry fruit, leading into terroir character: cocoa powder, roasting coffee, and Havana cigars. The initial softness on the palate gradually evolves to reveal the tannic backbone. Despite their dense structure, the tannins are amazingly silky. The overall freshness carries the flavors through into an aftertaste that goes on and on."
11583,Chateau Haut-Brion (6-Pack OWC Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"Blend: 49.4% Merlot, 38.7% Cabernet Sauvignon and 11.9% Cabernet Franc"
11587,Chateau Haut-Brion Blanc (Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",White Wine,98,"Château Haut-Brion white wine is synonymous with uniqueness, excellence and aromatic intensity. Only 400 cases are produced per vintage. The unique blend of Sémillon and Sauvignon gives this Graves wine a concentration and breadth that is atypical of a dry white Bordeaux. The wine is a beautiful pale yellow in color. The first nose is intense, marked by Sauvignon, ethereal yet ripe, delicate and fresh. When swirled in the glass, there is an incredibleimpression of “densification” and complexity: the Sémillon clearly acts as an aroma enhancer, beyond a doubt. The first impression is generous, fragrant and flavorful. The wine then extends, displaying an outstanding length that continues to gain momentum, revealing spicy nuances. This Haut-Brion confirms that years marked by a very hot and dry summer can produce white wines of incrediblefreshness and power of flavors. One of the most beautiful Haut-Brion whites, very similar to the 2017, and undoubtedly a future 1993, one of the most successful vintages of recent years."
11589,Chateau Haut-Brion (Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"Blend: 49.4% Merlot, 38.7% Cabernet Sauvignon and 11.9% Cabernet Franc"
11590,Chateau Haut-Brion (Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,99,"The wine is a superb, deep purple-red color. The first nose is at once intense and subtle. It has a ripe fruitiness, and swirling brings out its aromatic complexity.The first expression is incredibly smooth and delicate, expanding and filling the palate without ever “flexing its muscles”. The tannins are precise but not aggressive, and subtly enchanting. The finish is long and fragrant. Once again, Haut-Brion surprises for its ability to enhance the complementarity of Merlot, Cabernet Franc and Cabernet Sauvignon."
11638,Chateau Hosanna (Futures Pre-Sale) 2019,"Pomerol, Bordeaux, France",Red Wine,97,The Barrel Sample for this wine is above 14% ABV. 
11686,Chateau La Conseillante 1990,"Pomerol, Bordeaux, France",Red Wine,97,"The color is showing a touch of age, but it still has intense depth. The nose is clean, revealing superb aromatic complexity with notes of varnished wood, plums and blackberries coming through. On the palate, there is good volume and lots of appeal, a sign that there's still good ageing potential."
11697,Chateau La Conseillante (Futures Pre-Sale) 2019,"Pomerol, Bordeaux, France",Red Wine,97,"Never has the blending of a vintage been so straightforward. The association of the different lots of the 2019 La Conseillante has produced a wine with stunning freshness allied to gentle power.Very Pomerol in its seductiveness, this vintage reveals black fruit aromas supported by floral and spicy notes. La Conseillante 2019 is a vibrant wine with huge promise for the decades to come."
11737,Chateau La Fleur de Bouard Le Plus 2000,"Pomerol, Bordeaux, France",Red Wine,99,"A very dark, vivid hue of Indian ink; this color still looks very young. t exudes aromas of black fruit, blackberries, as well as chocolaty hints and a delicate touch of truffle. Supple on the first taste, very rich and round, with flavors of black fruit that evoke the aromas. The tannins are clearly perceptible, but pleasantly melted. The flavors are delightfully long-lasting."
11752,Chateau La Gaffeliere (Futures Pre-Sale) 2018,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 58% Merlot, 42% Cabernet Franc"
11753,Chateau La Gaffeliere (Futures Pre-Sale) 2019,"St. Emilion, Bordeaux, France",Red Wine,97,"Blend: 60% Merlot, 40% Cabernet Franc"
11777,Chateau La Mission Haut-Brion (1.5 Liter Futures Pre-Sale) 2018,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"Blend: 53.5% Merlot, 42.9% Cabernet Sauvignon and 3.6% Cabernet Franc"
11778,Chateau La Mission Haut-Brion (1.5 Liter Futures Pre-Sale) 2019,"Pessac-Leognan, Bordeaux, France",Red Wine,98,"The wine is a beautiful deep purple-red. The nose is intense, with hints of raspberry and blackberry. What is striking as it swirls in the glass is its ripe fruitiness. The vanilla and delicately spicy, woody notes marry perfectly without dominating. The first expression is round, full and ample, leading into a dense and flavorful mid-palate. Blackfruit and licorice notes dominate the taste, followed by a juicy and velvety tannic structure."
11780,Chateau La Mission Haut-Brion (1.5 Liter Magnum) 2005,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"This wine possesses great intensity that will delight you with its complexity of red fruits and the signature of its terrior in its empyreumatic notes. On the palate, the wine is spherical and generous without a trace of aggressiveness. It lenghtens on silky tannins, making this so obvious that the taster succumbs to its charm. "
11786,Chateau La Mission Haut-Brion 1986,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"The handsome color has evolved. The tasting is marked by both the great softness at the base as well as notes or aromas of rather heavy wild game. The whole has a beautiful harmony. Its rich aromas, its softness, and its chunkiness make it a particularly rich bottle with an aptitude to age well."
11796,Chateau La Mission Haut-Brion 2005,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"The color of La Mission Haut-Brion is very dark. One can surmise by its depth that the wine is extremely dense. The nose has great precision. We find there the aromas of red fruit, earth, smoke, and liquorish. With the evidence of this complexity in the mouth one notes the first impression which is the surprising contrast between the concentration of the wine and its smoothness. It possesses an enveloping body, the tannins seeming almost creamy. The wine expands taking a greater dimension on the palate while seeming never ending. The equilibrium of this wine is a great trait of La Mission Haut-Brion 2005 where the intensity of the tannins is counterbalanced by an extraordinary freshness. This is one of the great vintages of Chateau La Mission Haut-Brion."
11801,Chateau La Mission Haut-Brion 2010,"Pessac-Leognan, Bordeaux, France",Red Wine,97,"The striking, deep-purple color of this wine is reminiscent of a ripe aubergine. It has an intense, complex bouquet, blending hints of oak with blackcurrant, licorice, and chocolate. The nose reveals a seemingly endless range of aromas. On the palate, the breadth and expressivity of this wine is immediately impressive. The tannins are flavorful and its structure is poised, buoyed up by incredible freshness. To take an architectural metaphor, 2010 Chateau La Mission Haut-Brion is reminiscent of the Eiffel Tower. Its structure is immediately perceptible but, although it is obviously a substantial construction, it gives an impression of lightness and elegance. These contrasts make it easier to understand the challenge that faced the architects in both cases: to achieve perfect balance. "
